model,reference_model,loc_id,sec_condition,pixel_agreement_masked,metric_type,reference_input_source,model_input_source,adapter_input_norm,conf_threshold,coverage_masked,coverage_ref_masked,clean_path,sec_path
Mask2Former-Swin-S,SegFormer-B5,11281105,Night-FOGGY,0.8512496408112372,reference_clean_vs_model_adverse,raw,raw,processor,0.6,0.9808114171028137,0.9808114171028137,/home/ace/Downloads/Dataset/Day/11281105_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/11281105_Night_FOGGY.png
Mask2Former-Swin-S,SegFormer-B5,1129575,Sunset-EXTRASUNNY,0.9250309887714611,reference_clean_vs_model_adverse,raw,raw,processor,0.6,0.968872606754303,0.968872606754303,/home/ace/Downloads/Dataset/Day/1129575_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Sunset/1129575_Sunset_EXTRASUNNY.png
Mask2Former-Swin-L,SegFormer-B5,11281105,Night-FOGGY,0.7966966396735962,reference_clean_vs_model_adverse,raw,raw,processor,0.6,0.9808114171028137,0.9808114171028137,/home/ace/Downloads/Dataset/Day/11281105_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/11281105_Night_FOGGY.png
Mask2Former-Swin-L,SegFormer-B5,1129575,Sunset-EXTRASUNNY,0.9520816629260885,reference_clean_vs_model_adverse,raw,raw,processor,0.6,0.968872606754303,0.968872606754303,/home/ace/Downloads/Dataset/Day/1129575_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Sunset/1129575_Sunset_EXTRASUNNY.png
DeepLabV3+-R101,SegFormer-B5,11281105,Night-FOGGY,0.8658009167225404,reference_clean_vs_model_adverse,raw,repo,none,0.6,0.9808114171028137,0.9808114171028137,/home/ace/Downloads/Dataset/Day/11281105_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/11281105_Night_FOGGY.png
DeepLabV3+-R101,SegFormer-B5,1129575,Sunset-EXTRASUNNY,0.9271914136436784,reference_clean_vs_model_adverse,raw,repo,none,0.6,0.968872606754303,0.968872606754303,/home/ace/Downloads/Dataset/Day/1129575_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Sunset/1129575_Sunset_EXTRASUNNY.png
PIDNet-M,SegFormer-B5,11281105,Night-FOGGY,0.5116158705139214,reference_clean_vs_model_adverse,raw,repo,none,0.6,0.9808114171028137,0.9808114171028137,/home/ace/Downloads/Dataset/Day/11281105_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/11281105_Night_FOGGY.png
PIDNet-M,SegFormer-B5,1129575,Sunset-EXTRASUNNY,0.5121295665201056,reference_clean_vs_model_adverse,raw,repo,none,0.6,0.968872606754303,0.968872606754303,/home/ace/Downloads/Dataset/Day/1129575_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Sunset/1129575_Sunset_EXTRASUNNY.png
DDRNet-23,SegFormer-B5,11281105,Night-FOGGY,0.4074273234401685,reference_clean_vs_model_adverse,raw,repo,none,0.6,0.9808114171028137,0.9808114171028137,/home/ace/Downloads/Dataset/Day/11281105_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/11281105_Night_FOGGY.png
DDRNet-23,SegFormer-B5,1129575,Sunset-EXTRASUNNY,0.11904905015020907,reference_clean_vs_model_adverse,raw,repo,none,0.6,0.968872606754303,0.968872606754303,/home/ace/Downloads/Dataset/Day/1129575_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Sunset/1129575_Sunset_EXTRASUNNY.png
SegFormer-B0,SegFormer-B5,1161197,Night-FOGGY,0.7594575246894293,reference_clean_vs_model_adverse,raw,raw,processor,0.6,0.9723585247993469,0.9723585247993469,/home/ace/Downloads/Dataset/Day/1161197_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/1161197_Night_FOGGY.png
SegFormer-B0,SegFormer-B5,1162709,Day-FOGGY,0.8054597687998828,reference_clean_vs_model_adverse,raw,raw,processor,0.6,0.9603867530822754,0.9603867530822754,/home/ace/Downloads/Dataset/Day/1162709_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Day/1162709_Day_FOGGY.png
SegFormer-B2,SegFormer-B5,1161197,Night-FOGGY,0.816779828316723,reference_clean_vs_model_adverse,raw,raw,processor,0.6,0.9723585247993469,0.9723585247993469,/home/ace/Downloads/Dataset/Day/1161197_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/1161197_Night_FOGGY.png
